Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
,,1.15/ijarbs-2016-3-8-10,False,,,,,False,,
"Antimicrobial resistance and genetic diversity of
            Salmonella enterica
            from eggs",,10.1002/fsn3.1126,True,Antimicrobial resistance and genetic diversity of_            Salmonella enterica_            from eggs.pdf,2019,,Wiley,True,SciHub,Tengfei Xie and Gang Wu and Xujun He and Zengzhe Lai and Huatong Zhang and Jing Zhao
"Antimicrobial‐resistant genes associated with
            Salmonella
            spp. isolated from human, poultry, and seafood sources",,10.1002/fsn3.119,True,Antimicrobial_resistant genes associated with_            Salmonella_            spp. isolated from human_ poultry_ and seafood sources.pdf,2014,,Wiley,True,SciHub,Yemisi O. Adesiji and Vijaya Kumar Deekshit and Indrani Karunasagar
"Characterization of verotoxigenic Escherichia coli
 (VTEC) isolates from faeces of small ruminants and environmental samples in southern Jordan",,10.1002/jobm.200800060,True,Characterization of verotoxigenic Escherichia coli_ _VTEC_ isolates from faeces of small ruminants and environmental samples in southern Jordan.pdf,2008,,Wiley,True,SciHub,Khaled A. Tarawneh and Nafe{\textquotesingle} M. Al-Tawarah and Adel H. Abdel-Ghani and Ahmed M. Al-Majali and Khaled M. Khleifat
Prevalence of β-haemolytic multi-drug resistant E. coli in cow and camel milk in Kenya,,10.1007/s00003-018-1187-4,True,Prevalence of β-haemolytic multi-drug resistant E. coli in cow and camel milk in Kenya.pdf,2018,,Springer Science and Business Media {LLC},True,SciHub,Samuel M. Nato and Joseph W. Matofari and Bockline O. Bebe and Christian Huelsebusch
"Geographical and Temporal Dissemination of Salmonellae Isolated from Domestic Animal Hosts in the Culiacan Valley, Mexico",,10.1007/s00248-010-9792-5,True,Geographical and Temporal Dissemination of Salmonellae Isolated from Domestic Animal Hosts in the Culiacan Valley_ Mexico.pdf,2011,,Springer Science and Business Media {LLC},True,SciHub,Maribel Jim{\'{e}}nez and Jaime Mart{\'{\i}}nez-Urtaza and Cristobal Chaidez
"Common findings of bla
                     CTX-M-55-encoding 104–139 kbp plasmids harbored by extended-spectrum β-lactamase-producing Escherichia coli in pork meat, wholesale market workers, and patients with urinary tract infection in Vietnam",,10.1007/s00284-016-1174-x,True,,2016,,Springer Science and Business Media {LLC},False,,T. A. V. Hoang and T. N. H. Nguyen and S. Ueda and Q. P. Le and T. T. N. Tran and T. N. D. Nguyen and T. V. K. Dao and M. T. Tran and T. T. T. Le and T. L. Le and T. Nakayama and I. Hirai and T. H. Do and Q. M. Vien and Y. Yamamoto
,,10.1007/s00580-012-1527,False,,,,,False,,
Clonal relationship between human and avian ciprofloxacin-resistant Escherichia coli isolates in North-Eastern Algeria,,10.1007/s10096-015-2534-3,True,Clonal relationship between human and avian ciprofloxacin-resistant Escherichia coli isolates in North-Eastern Algeria.pdf,2015,,Springer Science and Business Media {LLC},True,SciHub,A. Agabou and N. Lezzar and Z. Ouchenane and S. Khemissi and D. Satta and A. Sotto and J.-P. Lavigne and A. Pantel
Assessment of three indigenous South African herbivores as potential reservoirs and vectors of antibiotic-resistant Escherichia coli,,10.1007/s10344-017-1100-y,True,Assessment of three indigenous South African herbivores as potential reservoirs and vectors of antibiotic-resistant Escherichia coli.pdf,2017,,Springer Science and Business Media {LLC},True,SciHub,Tracy L.B. King and Stefan Schmidt
Antimicrobial susceptibility and invasive ability of Staphylococcus aureus isolates from mastitis from dairy backyard systems,,10.1007/s10482-008-9230-6,True,Antimicrobial susceptibility and invasive ability of Staphylococcus aureus isolates from mastitis from dairy backyard systems.pdf,2008,,Springer Science and Business Media {LLC},True,SciHub,Alejandra Ochoa-Zarzosa and Pedro D. Loeza-Lara and Francisco Torres-Rodr{\'{\i}}guez and Heber Loeza-{\'{A}}ngeles and Nidia Mascot-Chiquito and Sonia S{\'{a}}nchez-Baca and Joel E. L{\'{o}}pez-Meza
"Veterinary antibiotic resistance, residues, and ecological risks in environmental samples obtained from poultry farms, Egypt",,10.1007/s10661-014-4218-3,True,Veterinary antibiotic resistance_ residues_ and ecological risks in environmental samples obtained from poultry farms_ Egypt.pdf,2015,,Springer Science and Business Media {LLC},True,SciHub,Hesham Dahshan and Amr Mohamed Mohamed Abd-Elall and Ayman Mohamed Megahed and Mahdy A. Abd-El-Kader and Ehab Elsayed Nabawy
Occurrence and antimicrobial resistance of Salmonella serovars in apparently healthy slaughtered sheep and goats of central Ethiopia,,10.1007/s11250-006-4325-4,True,Occurrence and antimicrobial resistance of Salmonella serovars in apparently healthy slaughtered sheep and goats of central Ethiopia.pdf,2006,,Springer Science and Business Media {LLC},True,SciHub,W. Molla and B. Molla and D. Alemayehu and A. Muckle and L. Cole and E. Wilkie
"Bovine mastitis and antibiotic resistance patterns in Selalle smallholder dairy farms, central Ethiopia",,10.1007/s11250-007-9090-5,True,Bovine mastitis and antibiotic resistance patterns in Selalle smallholder dairy farms_ central Ethiopia.pdf,2007,,Springer Science and Business Media {LLC},True,SciHub,K Getahun and B Kelay and M Bekana and F Lobago
"Antimicrobial resistance pattern of Salmonella serotypes isolated from food items and personnel in Addis Ababa, Ethiopia",,10.1007/s11250-008-9181-y,True,Antimicrobial resistance pattern of Salmonella serotypes isolated from food items and personnel in Addis Ababa_ Ethiopia.pdf,2008,,Springer Science and Business Media {LLC},True,SciHub,Endrias Zewdu and Poppe Cornelius
Salmonella Umbadah: A new Salmonella serovar isolated from cattle in Sudan,,10.1007/s11250-009-9353-4,True,Salmonella Umbadah_ A new Salmonella serovar isolated from cattle in Sudan.pdf,2009,,Springer Science and Business Media {LLC},True,SciHub,H. E. H. Hag Elsafi and M. M. Nor Elmadiena and A. A. El Hussein and M. A. M Siddig and C. A Muckle and L. Cole and E. Wilkie and K. Mistry
"Prevalence and antibiotic susceptibility of thermophilic Campylobacter isolates from free range domestic duck (Cairina moschata) in Morogoro municipality, Tanzania",,10.1007/s11250-009-9401-0,True,Prevalence and antibiotic susceptibility of thermophilic Campylobacter isolates from free range domestic duck _Cairina moschata_ in Morogoro municipality_ Tanzania.pdf,2009,,Springer Science and Business Media {LLC},True,SciHub,Hezron Emmanuel Nonga and A. P. Muhairwa
Distribution of drug resistance among enterococci and Salmonella from poultry and cattle in Ethiopia,,10.1007/s11250-009-9499-0,True,Distribution of drug resistance among enterococci and Salmonella from poultry and cattle in Ethiopia.pdf,2009,,Springer Science and Business Media {LLC},True,SciHub,Behailu Bekele and Mogessie Ashenafi
Serotype identification and antimicrobial resistance profiles of Salmonella spp. isolated from chicken carcasses,,10.1007/s11250-009-9504-7,True,Serotype identification and antimicrobial resistance profiles of Salmonella spp. isolated from chicken carcasses.pdf,2009,,Springer Science and Business Media {LLC},True,SciHub,Aylin Kasimoglu Dogru and Naim Deniz Ayaz and Yilmaz Emre Gencay
"Prevalence and antimicrobial resistance profiles of Salmonella enterica serovars isolated from slaughtered cattle in Bahir Dar, Ethiopia",,10.1007/s11250-011-9941-y,True,Prevalence and antimicrobial resistance profiles of Salmonella enterica serovars isolated from slaughtered cattle in Bahir Dar_ Ethiopia.pdf,2011,,Springer Science and Business Media {LLC},True,SciHub,Sefinew Alemu and Bayleyegn Molla Zewde
"Prevalence, bacterial causes, and antimicrobial susceptibility profile of mastitis isolates from cows in large-scale dairy farms of Northern Ethiopia",,10.1007/s11250-012-0135-z,True,Prevalence_ bacterial causes_ and antimicrobial susceptibility profile of mastitis isolates from cows in large-scale dairy farms of Northern Ethiopia.pdf,2012,,Springer Science and Business Media {LLC},True,SciHub,Rgbe Haftu and Habtamu Taddele and Getachew Gugsa and Shewit Kalayou
Characterization of non-O157 shiga toxin-producing Escherichia coli isolates from healthy fat-tailed sheep in southeastern of Iran,,10.1007/s11250-012-0271-5,True,Characterization of non-O157 shiga toxin-producing Escherichia coli isolates from healthy fat-tailed sheep in southeastern of Iran.pdf,2012,,Springer Science and Business Media {LLC},True,SciHub,Reza Ghanbarpour and Mojtaba Kiani
Prevalence and antimicrobial resistance of porcine O157 and non-O157 Shiga toxin-producing Escherichia coli from India,,10.1007/s11250-014-0587-4,True,Prevalence and antimicrobial resistance of porcine O157 and non-O157 Shiga toxin-producing Escherichia coli from India.pdf,2014,,Springer Science and Business Media {LLC},True,SciHub,Swaraj Rajkhowa and Dilip Kumar Sarma
Prevalence and detection of antibiotic-resistant determinant in Salmonella isolated from food-producing animals,,10.1007/s11250-014-0680-8,True,Prevalence and detection of antibiotic-resistant determinant in Salmonella isolated from food-producing animals.pdf,2014,,Springer Science and Business Media {LLC},True,SciHub,Isoken Henrietta Igbinosa
"Herd- and individual-level prevalences of and risk factors for Salmonella spp. fecal shedding in dairy farms in Al-Dhulail Valley, Jordan",,10.1007/s11250-015-0854-z,True,Herd- and individual-level prevalences of and risk factors for Salmonella spp. fecal shedding in dairy farms in Al-Dhulail Valley_ Jordan.pdf,2015,,Springer Science and Business Media {LLC},True,SciHub,Yaser H. Tarazi and Mahmoud N. Abo-Shehada
"Frequent use of colistin-based drug treatment to eliminate extended-spectrum beta-lactamase-producing Escherichia coli in backyard chicken farms in Thai Binh Province, Vietnam",,10.1007/s11250-016-1154-y,True,,2016,,Springer Science and Business Media {LLC},False,,Tatsuya Nakayama and Michio Jinnai and Ryuji Kawahara and Khong Thi Diep and Nguyen Nam Thang and Tran Thi Hoa and Le Kieu Hanh and Pham Ngoc Khai and Yoshinori Sumimura and Yoshimasa Yamamoto
Genotypic analysis of virulence genes and antimicrobial profile of diarrheagenic Escherichia coli isolated from diseased lambs in Iran,,10.1007/s11250-017-1234-7,True,Genotypic analysis of virulence genes and antimicrobial profile of diarrheagenic Escherichia coli isolated from diseased lambs in Iran.pdf,2017,,Springer Science and Business Media {LLC},True,SciHub,Reza Ghanbarpour and Nasrin Askari and Masoud Ghorbanpour and Yahya Tahamtan and Khoobyar Mashayekhi and Narjes Afsharipour and Nasim Darijani
"Screening food-borne and zoonotic pathogens associated with livestock practices in the Sumapaz region, Cundinamarca, Colombia",,10.1007/s11250-017-1251-6,True,Screening food-borne and zoonotic pathogens associated with livestock practices in the Sumapaz region_ Cundinamarca_ Colombia.pdf,2017,,Springer Science and Business Media {LLC},True,SciHub,Nelson E. Arenas and Diego A. Abril and Paola Valencia and Surabhi Khandige and Carlos Yesid Soto and Vilma Moreno-Melo
"Multidrug-resistant Salmonellae isolated in Japanese quails reared in Abeokuta, Nigeria",,10.1007/s11250-017-1347-z,True,Multidrug-resistant Salmonellae isolated in Japanese quails reared in Abeokuta_ Nigeria.pdf,2017,,Springer Science and Business Media {LLC},True,SciHub,Ezekiel O. Omoshaba and F. O. Olufemi and O. E. Ojo and A. O. Sonibare and M. Agbaje
"Prevalence of bovine subclinical mastitis and antibiotic susceptibility patterns of major mastitis pathogens isolated in Unguja island of Zanzibar, Tanzania",,10.1007/s11250-017-1424-3,True,Prevalence of bovine subclinical mastitis and antibiotic susceptibility patterns of major mastitis pathogens isolated in Unguja island of Zanzibar_ Tanzania.pdf,2017,,Springer Science and Business Media {LLC},True,SciHub,T. S. Suleiman and E. D. Karimuribo and R. H. Mdegela
"High prevalence and antimicrobial resistance of mecA Staphylococcus aureus in dairy cattle, sheep, and goat bulk tank milk in Jordan",,10.1007/s11250-017-1449-7,True,High prevalence and antimicrobial resistance of mecA Staphylococcus aureus in dairy cattle_ sheep_ and goat bulk tank milk in Jordan.pdf,2017,,Springer Science and Business Media {LLC},True,SciHub,Mohammad M. Obaidat and Alaa E. Bani Salman and Amira A. Roess
"Frequency of enterotoxins, toxic shock syndrome toxin-1, and biofilm formation genes in Staphylococcus aureus isolates from cows with mastitis in the Northeast of Brazil",,10.1007/s11250-018-1534-6,True,Frequency of enterotoxins_ toxic shock syndrome toxin-1_ and biofilm formation genes in Staphylococcus aureus isolates from cows with mastitis in the Northeast of Brazil.pdf,2018,,Springer Science and Business Media {LLC},True,SciHub,F. N. Costa and N. O. Belo and E. A. Costa and G. I. Andrade and L. S. Pereira and I. A. Carvalho and R. L. Santos
"Virulent gene profile and antibiotic susceptibility pattern of Shiga toxin-producing Escherichia coli (STEC) from cattle and camels in Maiduguri, North-Eastern Nigeria",,10.1007/s11250-018-1565-z,True,Virulent gene profile and antibiotic susceptibility pattern of Shiga toxin-producing Escherichia coli _STEC_ from cattle and camels in Maiduguri_ North-Eastern Nigeria.pdf,2018,,Springer Science and Business Media {LLC},True,SciHub,Musa Sakuma Adamu and Iniobong Chukwuebuka Ikenna Ugochukwu and Sunday Idoko Idoko and Yakubu Adamu Kwabugge and Nafisatu Sa'ad Abubakar and James Ameh Ameh
Prevalence of methicillin-resistant Staphylococcus aureus (MRSA) in broilers and workers at ‘pluck shops’ in Trinidad,,10.1007/s11250-018-1699-z,True,Prevalence of methicillin-resistant Staphylococcus aureus _MRSA_ in broilers and workers at _pluck shops_ in Trinidad.pdf,2018,,Springer Science and Business Media {LLC},True,SciHub,Alva Stewart-Johnson and Francis Dziva and Woubit Abdela and Saed Rahaman and Abiodun Adesiyun
Epidemiological survey on Escherichia coli O157 in Chongqing and Three-Gorge Reservoir Areas of China,,10.1007/s11259-008-9048-8,True,Epidemiological survey on Escherichia coli O157 in Chongqing and Three-Gorge Reservoir Areas of China.pdf,2008,,Springer Science and Business Media {LLC},True,SciHub,Haoju Wang and Xuhu Mao and Honglei Ding and Quanming Zou and Xiao Peng
SCC mec typing and antimicrobial resistance of methicillin-resistant Staphylococcus aureus (MRSA) from pigs of Northeast India,,10.1007/s11259-016-9661-x,True,SCC mec typing and antimicrobial resistance of methicillin-resistant Staphylococcus aureus _MRSA_ from pigs of Northeast India.pdf,2016,,Springer Science and Business Media {LLC},True,SciHub,S. Rajkhowa and D. K. Sarma and S. R. Pegu
Antibiotic susceptibility of Staphylococcus aureus isolated from subclinical bovine mastitis cases and in vitro efficacy of bacteriophage,,10.1007/s11259-018-9730-4,True,Antibiotic susceptibility of Staphylococcus aureus isolated from subclinical bovine mastitis cases and in vitro efficacy of bacteriophage.pdf,2018,,Springer Science and Business Media {LLC},True,SciHub,Diego F. Varela-Ortiz and Jos{\'{e}} E. Barboza-Corona and Joaqu{\'{\i}}n Gonz{\'{a}}lez-Marrero and Ma. Fabiola Le{\'{o}}n-Galv{\'{a}}n and Mauricio Valencia-Posadas and Alma A. Lechuga-Arana and Cynthia G. S{\'{a}}nchez-Felipe and Fernanda Ledezma-Garc{\'{\i}}a and Abner J. Guti{\'{e}}rrez-Ch{\'{a}}vez
Concordance of antibiotic resistance and ERIC-PCR DNA fingerprint pattern in Escherichia coli isolated from farmer and broiler in the same farm,,10.1007/s11274-008-9667-9,True,Concordance of antibiotic resistance and ERIC-PCR DNA fingerprint pattern in Escherichia coli isolated from farmer and broiler in the same farm.pdf,2008,,Springer Science and Business Media {LLC},True,SciHub,Kannika Na Lampang and Virasakdi Chongsuvivatwong and Rawee Teanpaisan and Viroj Kitikoon
Antibiotic resistance and pathogenicity factors in Staphylococcus aureus isolated from mastitic Sahiwal cattle,,10.1007/s12038-011-9004-6,True,Antibiotic resistance and pathogenicity factors in Staphylococcus aureus isolated from mastitic Sahiwal cattle.pdf,2011,,Springer Science and Business Media {LLC},True,SciHub,Ravinder Kumar and BR Yadav and RS Singh
"PCR-Based Detection of Extended-Spectrum β-Lactamases (bla CTX-M-1 and bla TEM ) in Escherichia coli, Salmonella spp. and Klebsiella pneumoniae Isolated from Pigs in North Eastern India (Mizoram)",,10.1007/s12088-013-0378-z,True,,2013,,Springer Science and Business Media {LLC},False,,H. Lalzampuia and T. K. Dutta and Iadarilin Warjri and Rajesh Chandra
"Species diversity and antibiotic resistance properties of Staphylococcus of farm animal origin in Nkonkobe Municipality, South Africa",,10.1007/s12223-013-0275-1,True,Species diversity and antibiotic resistance properties of Staphylococcus of farm animal origin in Nkonkobe Municipality_ South Africa.pdf,2013,,Springer Science and Business Media {LLC},True,SciHub,Anthony A. Adegoke and Anthony I. Okoh
Prevalence and characterization of Escherichia coli O157 and O157:H7 in retail fresh raw meat in South China,,10.1007/s13213-015-1037-x,True,Prevalence and characterization of Escherichia coli O157 and O157_H7 in retail fresh raw meat in South China.pdf,2015,,Springer Science and Business Media {LLC},True,SciHub,Shuhong Zhang and Xuemei Zhu and Qingping Wu and Jumei Zhang and Xiaoke Xu and Haigang Li
Molecular characterization and antimicrobial susceptibility of Staphylococcus aureus from small-scale dairy systems in the highlands of Central México,,10.1007/s13594-014-0195-0,True,Molecular characterization and antimicrobial susceptibility of Staphylococcus aureus from small-scale dairy systems in the highlands of Central México.pdf,2014,,Springer Science and Business Media {LLC},True,SciHub,T. B. Salgado-Ruiz and A. Rodr{\'{\i}}guez and D. Guti{\'{e}}rrez and B. Mart{\'{\i}}nez and P. Garc{\'{\i}}a and A. Espinoza-Ortega and A. R. Mart{\'{\i}}nez-Campos and S. Lagunas-Bernab{\'{e}} and F. Vicente and C. M. Arriaga-Jord{\'{a}}n
Frequency of Antimicrobial-Resistant Genes in Salmonella enteritidis Isolated from Traditional and Industrial Iranian White Cheeses,,10.1007/s40011-015-0572-3,True,Frequency of Antimicrobial-Resistant Genes in Salmonella enteritidis Isolated from Traditional and Industrial Iranian White Cheeses.pdf,2015,,Springer Science and Business Media {LLC},True,SciHub,Abbas Doosti and Elham Doosti and Ebrahim Rahimi and Payam Ghasemi-Dehkordi
Antibiotic susceptibility profiling and virulence potential of Campylobacter jejuni isolates from different sources in Pakistan,,10.1016/S1995-7645(14)60314-X,True,Antibiotic susceptibility profiling and virulence potential of Campylobacter jejuni isolates from different sources in Pakistan.pdf,2015,,Medknow,True,SciHub,Fariha Masood Siddiqui and Muhammad Akram and Nighat Noureen and Zobia Noreen and Habib Bokhari
Antimicrobial drug resistance of Staphylococcus aureus in dairy products,,10.1016/S2221-1691(11)60010-5,True,Antimicrobial drug resistance of Staphylococcus aureus in dairy products.pdf,2011,,Medknow,True,SciHub,S Sasidharan and B Prema and L Yoga Latha
"Outbreaks of salmonellosis in three different poultry farms of Kerala, India",,10.1016/S2221-1691(13)60103-3,True,Outbreaks of salmonellosis in three different poultry farms of Kerala_ India.pdf,2013,,Medknow,True,SciHub,Ramachandranpillai Rajagopal and Mangattumuruppel Mini
Antibiotic susceptibilities and prevalence of Methicillin resistant  Staphylococcus aureus  (MRSA) isolated from bovine milk in Pakistan,,10.1016/j.actatropica.2017.08.008,True,Antibiotic susceptibilities and prevalence of Methicillin resistant  Staphylococcus aureus  _MRSA_ isolated from bovine milk in Pakistan.pdf,2017,,Elsevier {BV},True,SciHub,Amjad Islam Aqib and Muhammad Ijaz and Aftab Ahmad Anjum and Muhammad Abdul Rauf Malik and Khalid Mehmood and Shahid Hussain Farooqi and Kashif Hussain
"Prevalence, risk factors and antimicrobial susceptibility test of Staphylococcus aureus in Bovine cross breed mastitic milk in and around Asella town, Oromia regional state, southern Ethiopia",,10.1016/j.actatropica.2017.09.012,True,,2018,,Elsevier {BV},False,,Befikadu Seyoum and Hailemariam Kefyalew and Birhanu Abera and Nejash Abdela
"Isolation, serotype diversity and antibiogram of Salmonella enterica isolated from different species of poultry in India",,10.1016/j.apjtb.2015.03.010,True,Isolation_ serotype diversity and antibiogram of Salmonella enterica isolated from different species of poultry in India.pdf,2015,,Medknow,True,SciHub,Irfan Ahmad Mir and Sudhir Kumar Kashyap and Sunil Maherchandani
"CTX-M producing Escherichia coli isolated from cattle feces in Bogor slaughterhouse, Indonesia",,10.1016/j.apjtb.2016.05.001,True,CTX-M producing Escherichia coli isolated from cattle feces in Bogor slaughterhouse_ Indonesia.pdf,2016,,Medknow,True,SciHub,Mirnawati Bachrum Sudarwanto and Denny Widaya Lukman and Hadri Latif and Herwin Pisestyani and Eddy Sukmawinata and Ã–mer Akineden and Ewald Usleber
"Characterization, prevalence and antibiogram study of Staphylococcus aureus in poultry",,10.1016/j.apjtb.2016.12.001,True,Characterization_ prevalence and antibiogram study of Staphylococcus aureus in poultry.pdf,2017,,Medknow,True,SciHub,Yeasmeen Ali and Md. Ashraful Islam and Nazmul Hasan Muzahid and Mohd. Omar Faruk Sikder and Md. Amzad Hossain and Lolo Wal Marzan
"Zoonotic potential of multidrug-resistant extraintestinal pathogenic Escherichia coli obtained from healthy poultry carcasses in Salvador, Brazil",,10.1016/j.bjid.2012.09.004,True,Zoonotic potential of multidrug-resistant extraintestinal pathogenic Escherichia coli obtained from healthy poultry carcasses in Salvador_ Brazil.pdf,2013,,Elsevier {BV},True,SciHub,Jos{\'{e}} Vitor Lima-Filho and Liliane Vilela Martins and Danielle Cristina de Oliveira Nascimento and Roberta Ferreira Ventura and Jacqueline Ellen Camelo Batista and Ayrles Fernanda Brand{\~{a}}o Silva and Maria Taciana Ralph and Renata Valen{\c{c}}a Vaz and Carlos Boa-Viagem Rabello and Isabella de Matos Mendes da Silva and Joaquim Ev{\^{e}}ncio-Neto
Multidrug resistance and ESBL-producing Salmonella spp. isolated from broiler processing plants,,10.1016/j.bjm.2015.11.021,True,Multidrug resistance and ESBL-producing Salmonella spp. isolated from broiler processing plants.pdf,2016,,Springer Science and Business Media {LLC},True,SciHub,Rosangela Estel Ziech and Camila Lampugnani and Ana Paula Perin and Mallu Jagnow Sereno and Ricardo Ant{\^{o}}nio Pilegi Sfaciotte and Cibeli Viana and Vanessa Mendon{\c{c}}a Soares and Jos{\'{e}} Paes de Almeida Nogueira Pinto and Luciano dos Santos Bersot
Characterization of avian pathogenic Escherichia coli isolated from free-range helmeted guineafowl,,10.1016/j.bjm.2018.04.011,True,Characterization of avian pathogenic Escherichia coli isolated from free-range helmeted guineafowl.pdf,2018,,Springer Science and Business Media {LLC},True,SciHub,Mariana Monezi Borzi and Marita Vedovelli Cardozo and Elisabete Schirato de Oliveira and Andressa de Souza Pollo and Elisabete Aparecida Lopes Guastalli and Luis Fernando dos Santos and Fernando Antonio de {\'{A}}vila
